用户ID,特征,清洁效率,耗材,对比,时间
1001,65㎡公寓 |单身 |木地板,覆盖率: 85% 日均清扫: 45㎡ 漏扫区域: 沙发底...,主刷磨损:轻,适合木地板日常清扫,2025-01
1002,70㎡公寓 |情侣 |瓷砖,覆盖率: 88% 避障失败: 2次/周（电线缠绕）,边刷磨损:中度,需定期清理毛发,2025-01
1003,90㎡ |1狗 |短毛地毯,毛发清理: 92% 地毯增压使用: 15次/月,胶刷更换:剩余30天,毛发处理效果好,2025-01
1009,80㎡两居 | 养宠 | 仿实木,宠物毛发清理:85% 自动回充成功率:92%,胶刷缠绕:中度 滤网更换:剩余30天,养宠家庭适用,2025-05
1010,130㎡四居 | 三代同堂 | 通体砖,覆盖率:82% 手动辅助清扫:3次/天 定时清扫使用率:60%,电池衰减:轻度,大户型续航略显吃力,2025-01
1001,65㎡公寓 | 单身 | 木地板,覆盖率:86% 日均清扫:46㎡ 漏扫区域:沙发底部（高度不足）,主刷寿命:剩余50天,木地板保护良好,2025-02
1002,70㎡公寓 | 情侣 | 瓷砖,覆盖率:87% 避障失败:3次/周（电线缠绕）,边刷磨损:中度+ 尘盒清理:每2天,拖地功能使用频率高,2025-02
1003,90㎡ | 1狗 | 短毛地毯,毛发清理:91% 地毯增压使用:14次/月,胶刷更换:剩余20天 尘盒容量:每日,宠物家庭必备,2025-02
1004,85㎡ | 2猫 | 混合地面,猫砂泼洒处理:9次/月 自动回充成功率:87%,主刷缠绕:严重+ 滤网更换:紧迫,猫毛清理是个挑战,2025-02
1005,120㎡ | 老人 | 防滑砖,手动操作占比:94% 定时清扫尝试使用:1次/周,电池衰减:26% 水箱未激活,操作习惯偏向传统,2025-02
1006,150㎡别墅 | 儿童 | 多层,跨楼层失败:4次/周 玩具避障率:74%,边刷更换:待更换 集尘袋消耗:1.2个/月,多层导航有待优化,2025-02
1007,55㎡一居 | 独居 | 复合地板,覆盖率:91% 日均清扫:36㎡ 沿边清扫无死角,滤网寿命:剩余75天,小巧灵活,适合小户型,2025-02
1008,100㎡三居 | 三口之家 | 大理石,覆盖率:87% 餐桌区域漏扫:1次/天 避障成功率:91%,主刷磨损:轻,日常维护省心,2025-02
1009,80㎡两居 | 养宠 | 仿实木,宠物毛发清理:86% 自动回充成功率:93%,胶刷缠绕:中度 滤网更换:剩余25天,养宠家庭反馈良好,2025-02
1010,130㎡四居 | 三代同堂 | 通体砖,覆盖率:83% 手动辅助清扫:2次/天 定时清扫使用率:65%,电池衰减:16% 边刷寿命:剩余60%,家庭使用频繁,2025-02
1001,65㎡公寓 | 单身 | 木地板,覆盖率:87% 日均清扫:47㎡ 漏扫区域:沙发底部）,主刷寿命:剩余50天 HEPA滤网:正常,细节清扫到位,2025-03
1002,70㎡公寓 | 情侣 | 瓷砖,覆盖率:88% 避障失败:2次/周（电线+数据线）,边刷磨损:重度- 尘盒清理:每2天,线路整理需加强,2025-03
1003,90㎡ | 1狗 | 短毛地毯,毛发清理:92% 地毯增压使用:16次/月,胶刷更换:已更换 尘盒容量:每日清理,地毯深层清洁有效,2025-03
1004,85㎡ | 2猫 | 混合地面,猫砂泼洒处理:7次/月 自动回充成功率:88%,主刷缠绕:严重 滤网更换:已更换,突发情况应对能力不错,2025-03
1005,120㎡ | 老人 | 防滑砖,手动操作占比:93% 定时清扫使用率:2次/周,电池衰减:27% 水箱首次激活:使用1次,开始尝试智能功能,2025-03
1006,150㎡别墅 | 儿童 | 多层,跨楼层失败:2次/周 玩具避障率:78%,边刷更换:1次/季度 集尘袋消耗:1个月/月,儿童玩具较多影响清扫,2025-03
1007,55㎡一居 | 独居 | 复合地板,覆盖率:92% 日均清扫:37㎡ 沿边清扫无死角,滤网寿命:剩余70天 尘盒清理:每4天,独居生活好帮手,2025-03
1008,100㎡三居 | 三口之家 | 大理石,覆盖率:88% 餐桌区域漏扫:0次/天 避障成功率:92%,主刷磨损:中度- 水箱加水:每日,餐桌周边保持干净,2025-03
1009,80㎡两居 | 养宠 | 仿实木,宠物毛发清理:88% 自动回充成功率:94%,胶刷缠绕:轻度+ 滤网更换:剩余20天,宠物毛发吸附力强,2025-03
1010,130㎡四居 | 三代同堂 | 通体砖,覆盖率:85% 手动辅助清扫:2次/天 定时清扫使用率:70%,电池衰减:17% 边刷寿命:剩余50%,全屋清扫覆盖率提升,2025-03
1001,65㎡公寓 | 单身 | 木地板,覆盖率:88% 日均清扫:48㎡ 漏扫区域:无（沙发底部垫高）,主刷寿命:剩余45天 HEPA滤区:正常,环境适应性增强,2025-04
1002,70㎡公寓 | 情侣 | 瓷砖,覆盖率:89% 避障失败:1次/周（电线缠绕）,边刷磨损:中度 尘盒清理:每3天,生活习惯逐渐智能化,2025-04
1003,90㎡ | 1狗 | 短毛地毯,毛发清理:93% 地毯增压使用:17次/月,胶刷更换:剩余45天 尘盒容量:每2天清理,高频使用下状态良好,2025-04
1004,85㎡ | 2猫 | 混合地面,猫砂泼洒处理:6次/月 自动回充成功率:90%,主刷缠绕:中度+ 滤网寿命:剩余60天,猫砂泼洒处理及时,2025-04
1005,120㎡ | 老人 | 防滑砖,手动操作占比:85% 定时清扫使用率:5次/周,电池衰减:28% 水箱使用率:50%,开始接受并依赖自动化,2025-04
1006,150㎡别墅 | 儿童 | 多层,跨楼层失败:1次/周 玩具避障率:85%,边刷寿命:剩余60天 集尘袋消耗:0.8个/月,儿童安全意识提升,2025-04
1007,55㎡一居 | 独居 | 复合地板,覆盖率:93% 日均清扫:38㎡ 沿边清扫无死角,滤网寿命:剩余65天 尘盒清理:每5天,清洁效果获得认可,2025-04
1008,100㎡三居 | 三口之家 | 大理石,覆盖率:87% 餐桌区域漏扫:1次/天 避障成功率:91%,主刷磨损:轻,日常维护省心,2025-04
1009,80㎡两居 | 养宠 | 仿实木,宠物毛发清理:86% 自动回充成功率:93%,胶刷缠绕:中度 滤网更换:剩余25天,养宠家庭反馈良好,2025-04
1010,130㎡四居 | 三代同堂 | 通体砖,覆盖率:83% 手动辅助清扫:2次/天 定时清扫使用率:65%,电池衰减:16% 边刷寿命:剩余60%,家庭使用频繁,2025-04
